Вкус,Название_вкуса,Бренд,Рейтинг,Количество_оценок,Отзывы
Ананас,Экзотический смузи,Северный,4.3,24,
Ананас,PineappleАнанас,Bonche,4,23,
Ананас,Pistachio MacaronФисташковый Макарун,Chabacco,3.4,25,
Ананас,Hawaii sourКислые Гавайи,Duft,4.3,23,
Ананас,Yellove,Jent,4.2,22,
Ананас,"Вятский вайбГрейпфрут, ананас, киви",DARKSIDE,3.6,24,
Ананас,Something SweetЧто-то сладкое,Black Burn,2.6,22,
Ананас,Bahama ShakeБагамский шейк,Fake,3.1,21,
Ананас,Желтый,Северный,4.6,20,
Ананас,MikadoМикадо,Banger,4.2,20,
Арбуз,MelonadeМелонад,MUSTHAVE,3.8,183,168
Арбуз,AraramАрарам,MUSTHAVE,4,105,94
Арбуз,Watermelon HollsАрбузный Холс,Element,4.2,93,87
Арбуз,Red AlertРед Алерт,DARKSIDE,3.7,83,80
Арбуз,TurboТурбо,Хулиган,3.9,62,59
Арбуз,WatermelonАрбуз,MUSTHAVE,4,60,55
Арбуз,Gin WatermelonАрбузный джин,Overdose,3.9,59,55
Арбуз,Арбуз-Елка,Сарма,4.3,50,47
Арбуз,Черный арбуз,Северный,3.2,47,45
Арбуз,"Амурский панчАрбуз, малина, смородина",DARKSIDE,4,48,43
Арбуз,Ледяной арбуз,Brusko,3.1,45,43
Арбуз,Двойной арбуз,Догма,4.4,43,42
Арбуз,TipsyТипси,MUSTHAVE,3.4,44,40
Арбуз,Тропиканка,Северный,4.5,37,34
Арбуз,EkzoЭкзо,Element,2.9,37,34
Арбуз,Арбузный мармелад,Сарма,3.3,33,31
Арбуз,Hard TurboТурбо,Хулиган,3.3,32,31
Арбуз,Арбузный рондо,Jam,4.2,32,29
Арбуз,Арбуз ягодых Дава Дым,Nаш,4,27,27
Арбуз,EkzoЭкзо,Element,3.4,26,25
Арбуз,EkzoФруктовое мороженое,Sapphire Crown,4,28,
Арбуз,Watermelon HallsАрбузный холс,Deus,3.5,27,
Арбуз,WatermelonСладкий арбуз,Black Burn,2.7,27,
Арбуз,TorpedoТорпедо,DARKSIDE,3.2,27,
Арбуз,WatermelonАстраханский арбуз,Chabacco,4,25,
Арбуз,Yummy GumЯмми-гам,Banger,3,23,
Арбуз,Watermelon or MelonАрбуз или дыня,Banger,2.2,23,
Арбуз,EkzoЭкзо,Element,3.9,24,
Арбуз,Арбузный лимонад,Rustpunk,4.7,23,
Арбуз,Wonder melonsАрбуз и дыня,Sebero,3.6,23,
Арбуз,Двойной арбуз,Догма,4.4,23,
Арбуз,Красный,Северный,4.4,21,
Арбуз,Ледяной арбуз,Nаш,3.2,21,
Арбуз,Watermelon HollsАрбузный холс,Element,4.2,20,
Арбуз,"Охотский шейкКлюква, сорбет, арбуз",DARKSIDE,3.4,18,
Арбуз,Pop StarПоп-звезда,Sebero,4.2,19,
Арбуз,Watermelon GumАрбузная жвачка,Chabacco,3.5,17,
Арбуз,AcediaУныние,Душа,3.9,16,
Арбуз,Арбуз,Северный,2.9,15,
Арбуз,Арбузный сорбет,Северный,3.8,15,
Банан,BananapapaБананапапа,DARKSIDE,3.9,109,97
Банан,BananamamaБананамама,MUSTHAVE,3.8,102,97
Банан,ParadiseРай,MUSTHAVE,3.9,77,74
Банан,На расслабоне feat. Джиган,Black Burn,3.7,74,69
Банан,Love isЛав из,Deus,3.7,50,48
Банан,BanБан,Хулиган,4,47,42
Банан,BlackoutБлэкаут,DARKSIDE,3.5,42,40
Банан,Пан Банан,Северный,4.3,42,40
Банан,"Уральский чиллБанан, ваниль, корица",DARKSIDE,3.7,42,38
Банан,Banana GumБанановая жвачка,Duft,4.1,40,38
Банан,BarbieБарби,Nаш,3.4,41,37
Банан,Hard BanБан,Хулиган,4.4,35,34
Банан,Bana-nascarБанан и клубника,DARKSIDE,3.9,33,31
Банан,Sweet cometСвит Комет,DARKSIDE,3.2,35,30
Банан,BananapapaБананапапа,DARKSIDE,4,31,30
Банан,Банановый пирог,Brusko,3.8,29,29
Банан,Bang BananaБанана бэнг,Spectrum,3.8,31,27
Банан,Go bananas!Банан,Sapphire Crown,4.2,27,27
Банан,Pan BananПан Банан,Trofimoff’s,4.4,27,27
Банан,Банан,Starline,3.4,27,26
Банан,Banana CreamБанановый крем,Sebero,3.9,27,
Банан,Банановый коктейль,Jam,4.1,25,
Банан,Банановый санрайз,Северный,4.4,23,
Банан,Печенье с бананом,Brusko,3.5,22,
Банан,Банановое суфле,Сарма,3.4,22,
Банан,"Таманский шейкБанан, папайя, йогурт",DARKSIDE,3.7,23,
Банан,Banana StrawberryБанан и клубника,Sebero,3.7,20,
Банан,Banana DaiquiryБанановый дайкири,Chabacco,3.6,21,
Банан,Sugar Blush,Duft,4.2,20,
Банан,Banana CookieБанановое печенье,Spectrum,3.8,19,
Банан,Typical MilkshakeТипичный милкшейк,Khan Burley,3.3,17,
Банан,Banana Ice DreamБанановое мороженое,Mattpear,2.6,17,
Банан,Груша с бананомГруша с бананом,Brusko,3.9,16,
Банан,BananaБанан,Endorphin,4.3,15,
Банан,Banana DonutБанановый пончик,Sebero,4.2,14,
Банан,Banana DaiquiryБанановый дайкири,Element,3.9,14,
Банан,Банан,Nаш,3.7,13,
Банан,BananerroБананеро,Element,3.3,13,
Банан,BananaБанан,Satyr,3.4,13,
Банан,Banamon,Zomo,3.7,12,
Банан,Banana ChocolateБанан-шоколад,Sebero,3.4,12,
Банан,Banana Milk IceЛедяной Банан с Молоком,Adalya,3.3,12,
Банан,Банановые вафли,Leteam,3.4,14,
Банан,BananaБанан,Tabu Team,3.9,12,
Банан,Banana Strawberry,Serbetli,3.4,12,
Банан,Fruit PulpФруктовое пюре,Element,4.3,11,
Банан,Chappo BoyЧаппо-бой,Split,3.3,11,
Банан,Feel Good,Burn,3.4,11,
Банан,"ГавайскийКлубника, банан, сливки",DARKSIDE,3.9,13,
Банан,BananaБанан,Sebero,3.6,13,
Банан,Кивано,Codex Nubium,4,11,
Банан,BananapapaБананапапа,DARKSIDE,3.5,11,
Банан,British BanoffeeБританский Баноффи,Aircraft,3.6,10,
Банан,Lovely GumКлубнично - банановая жвачка,Hype,4.3,10,
Банан,Sweet CometСвит Комет,DARKSIDE,3,10,
Банан,Strawberry BananaКлубника-банан,Sebero,3.8,10,
Банан,Banana Milkshake,Buta,3.3,10,
Банан,Фруктовое пюреFruit Pulp,Element,4.7,9,
Банан,Tutti FruttiТутти Фрутти,Spectrum,3.4,9,
Банан,Персик с бананом и клубникой,Brusko,3.6,9,
Банан,WafflefallВафлепад,Element,2.7,9,
Банан,Banana DaiquiryБанановый дайкири,Element,4,9,
Банан,Банан,Brusko,3.5,9,
Банан,Euphoria mixЭйфория микс,Табак Шпаковского,3.4,9,
Банан,Банановый милкшейк,Chabacco,4.2,8,
Банан,Банановый,Энтузиаст,4,8,
Банан,Tropic SmoothieТропический смузи,Spectrum,3.3,9,
Банан,Erotic mixЭротик микс,Табак Шпаковского,3.6,8,
Банан,Banana SplitБанана сплит,Cobra,3.9,8,
Банан,Банановые вафли,Snobless,4.7,7,
Банан,"Good Mo (№15)Банан, шоколад и злаки",Ready,3.7,7,
Банан,YellowstormЖелтый шторм,Element,4.5,7,
Банан,JULY FURY,Split,4.1,9,
Банан,Banana Ice Cream,Buta,3.3,7,
Банан,Банан,Brusko,2.5,6,
Банан,BananaБанан,Afzal,2.6,6,
Банан,BananaБанан,Al Fakher,1.6,6,
Банан,Ironman mixАйронмэн микс,Табак Шпаковского,3.8,6,
Банан,Homer SimpsonsГомер Симпсон,Adalya,3.5,6,
Банан,Banana BreakfastБанановый завтрак,LUNA,3.9,6,
Банан,"Bananas FosterДесерт ""банановый фостер""",Tangiers,4.7,5,
Банан,Strawberry Banana IceКлубника банан лёд,Adalya,2,5,
Банан,Raspberry-Banana-VanillaМалина-банан-ваниль,Twice,4.2,5,
Банан,Strawberry Banana ShakeКлубнично-Банановый Милкшейк,Malaysian Mix,3.5,5,
Банан,Banaboom,Zomo,3.7,5,
Банан,Sweet CometСвит Комет,DARKSIDE,3.5,5,
Банан,Банановое мороженое,D-Gastro,3.8,5,
Банан,New York MixНью-Йорк микс,Табак Шпаковского,3.5,5,
Банан,Monkey Melon,Chili,2.7,5,
Банан,Bannana JinglesБанановая жвачка,Palitra,3.7,4,
Банан,Банановый маршмеллоу,Starline,2.8,4,
Банан,Yummi KiwiНям-ням киви,Hola,2.7,4,
Банан,Банан,Original Virginia,3.3,4,
Банан,BananaБанан,OLO,1.5,3,
Банан,Banana BombБулочка с бананом,Iskra,4,3,
Банан,Banana GumБанановая жвачка,Duft,3.5,3,
Банан,Minion SnackБанановое пюре,Adalya,3.5,3,
Банан,Banana DaiquiriБанановый дайкири,Duft,4.3,3,
Банан,Banana GumБанановая жвачка,Duft,3.5,3,
Банан,Banana CoolerХолодный банан,Hype,3.4,3,
Банан,Banana-MelonБанан-дыня,Manual,4,3,
Банан,Clan BananaКлан Банана,Peter Ralf,2.3,3,
Банан,Kashmir Banana,Original Virginia,4.2,3,
Банан,Blackberry-Banana,Adalya,3.3,3,
Банан,Banana-Cherry,Adalya,2.8,3,
Банан,Cherry BananaВишня банан,Adalya,4.5,2,
Банан,BananacciБанановая жвачка,Badge,4.9,2,
Банан,Banana MilkБанан и Молоко,Adalya,5,2,
Банан,El BananoБанан,Izzi Bro,5,2,
Банан,Бельгийские вафли,Brusko,3.8,2,
Банан,Банановый пирог,Brusko,1,2,
Банан,Pablo BananoПабло Банано,Eleon,4.6,2,
Банан,Mi Amor,Adalya,4,2,
Банан,Bali smoothieБали смузи,High Flex,2.5,2,
Банан,BananaБанан,Cobra,3.7,2,
Банан,Banana BroБанановый бро,Venom,3.9,2,
Банан,Banana CustardБанановый крем,Fumari,3.3,2,
Банан,Yellow CookiesПеченье с Бананом,Malaysian Mix,2.6,2,
Банан,Blackberry-BananaЕжевика-банан,Neon Blend,4.8,2,
Банан,Арбуз из Кисловодска,Табабка,3.5,2,
Банан,Бананабаба,Табабка,3.7,2,
Банан,Fruit for Smart PeopleФрукт для умных людей,Puer,1.5,2,
Банан,BananazБананаз,Enigma,4.7,2,
Банан,Banana,Adalya,4.8,2,
Банан,Банан,D-Mini,3,2,
Банан,Banana DaiquiriБанановый дайкири,Chabacco,2.5,3,
Банан,Банан ягоды,Nur,4,1,
Банан,Банановая жвачка,Fishka,5,1,
Банан,Банан в шоколаде,Hypreme,5,1,
Банан,"Банан, сливки, клубника",Hypreme,1,1,
Банан,Number OneБанан с Шоколадом,Hypreme,3.7,1,
Банан,Banana BroБанана бро,Manterra,4.3,1,
Банан,Банан,Brusko,2,1,
Банан,Печенье с бананом,Brusko,1,1,
Банан,Dolce BananaДольче банана,Eternal Smoke,2,1,
Банан,Банановый тарт,Nuggle,3,1,
Банан,Banana & Nuts CakeТарт с бананом и орехами,Twice,3.8,1,
Банан,Baku NightНочи Баку,Jibiar,3,1,
Банан,Шоколад • Банан • Орех,Veter,2,1,
Банан,Banana SplitБанана сплит,Cobra,2.5,1,
Банан,Extaz 18+Фруктовая фантазия,Just Original,4.5,1,
Банан,BananaБанан,Cobra,4,1,
Банан,BananaБанан,Cobra,4,1,
Банан,BananaБанан,MMC,2.7,1,
Банан,Клубничная жвачка и банан,Devil Cook (табак),4,1,
Банан,Banana KongБанана Конг,KVLT,1.5,1,
Банан,BananaБанан,Rave,4.7,1,
Банан,BananaMango,Daly,3,1,
Банан,BananaБанан,Neon Blend,4,1,
Банан,Голубчик,Табабка,2,1,
Банан,BanofeeБанан с шоколадом,Trinity,1,1,
Банан,AmsterdamАмстердам,Just Smoke,1,1,
Банан,Banana ManiaБананамания,Just Smoke,3.1,1,
Банан,Green bananaЗеленый банан,ZR,4.5,1,
Банан,Banana,Buta,3.5,1,
Банан,Banana,Serbetli,3,1,
Банан,Banana,Starbuzz,3.4,1,
Банан,Красная смородина,Nur,0,0,
Банан,Банановый милкшейк,Heat Me,0,0,
Банан,Red BananaКрасный банан,World Tobacco Original,0,0,
Банан,Клубника банан,CBX,0,0,
Банан,Банановый Дайкири,CBX,0,0,
Банан,Cherry Banana IceЛедяная Вишня и Банан,Adalya,0,0,
Банан,Banana CinnamonБанан и Корица,Adalya,0,0,
Банан,Love This (№15)Клубнично-банановая жвачка,Prime,0,0,
Банан,Ba-Nan-Za (№16)Сливочный банан,Prime,0,0,
Банан,Банановый милкшейк,Chabacco,0,0,
Банан,Pacific SmootheМалиновый смузи с бананом,Aircraft,0,0,
Банан,Tropical BananaТропический банан,Ziggy,0,0,
Банан,Monkey ForrestОбезьяний лес,Tombacco,0,0,
Банан,Персик с бананом и клубникой,Brusko,0,0,
Банан,Банан,Good Goose,0,0,
Банан,Banango,Overdozz,0,0,
Банан,24 Karatine24 карата,Overdozz,0,0,
Банан,Банан,Brusko,0,0,
Банан,Mon AmurМон Амур,Daim,0,0,
Банан,BananawayБанан,4:20,0,0,
Банан,Fruit CerealФруктовые хлопья,4:20,0,0,
Банан,Банановые вафли,Joys,0,0,
Банан,Тропический взрыв,Joys,0,0,
Банан,Banana SplitБанана сплит,Cobra,0,0,
Банан,BananciagaБанансиага,Druid,0,0,
Банан,Banana CrepesБанановый десерт,Peter Ralf,0,0,
Банан,Клубничнвя жвачка и банан,Devil Cook (табак),0,0,
Банан,Малина и банан,Devil Cook (табак),0,0,
Банан,"Сочная гуава, лимон и банан",Devil Cook (табак),0,0,
Банан,Nana Chill IceНана чилл,Lirra,0,0,
Банан,Schnozz BerryШнозберри,Lirra,0,0,
Банан,BananaБанан,Lirra,0,0,
Банан,SplitСплит,Maxwell's Hookah,0,0,
Банан,Strawberry-BananaКлубника-Банан,Neon Blend,0,0,
Банан,BananaБанан,Magnum,0,0,
Банан,Banana Mama,New Yorker Club,0,0,
Банан,Banana Mama,New Yorker Club,0,0,
Банан,Банан,Seven,0,0,
Банан,Turbo BananaТурбо банан,Rell Blend,0,0,
Банан,TangoТанго,Kaleidoscope,0,0,
Банан,Banana SplitБанана сплит,Kaleidoscope,0,0,
Банан,Grand-baБольшой ба,Morph,0,0,
Банан,BananaБанан,Morph,0,0,
Банан,AmsterdamАмстердам,Morph,0,0,
Банан,Sweet ChoiceСладкий выбор,Morph,0,0,
Банан,BananaБанан,Fresh,0,0,
Банан,Банан,Bright Tea,0,0,
Банан,BananaБанан,Cobra,0,0,
Банан,Congo BongoКонго Бонго,Krass,0,0,
Банан,BananaБанан,HMT,0,0,
Банан,Banana MilkshakeБанановый милкшейк,Al Saha,0,0,
Банан,Brazil VanillaБразильская ваниль,Al Saha,0,0,
Банан,Banana BerryБанан и ягоды,B3 (Be Free),0,0,
Банан,Banana,Leyla,0,0,
Банан,Summer KissЛетний поцелуй,Gixom,0,0,
Банан,Banana StrawberryБанан и клубника,Gixom,0,0,
Банан,BananaБанан,Gixom,0,0,
Банан,BananБанан,Sarkozy (SZ),0,0,
Банан,Banana,Balli,0,0,
Банан,Banana Chocolate,Balli,0,0,
Банан,Smoothie,Burn,0,0,
Банан,BananaБанан,Just Smoke,0,0,
Банан,Vulgar Banana,Fairytale Mist,0,0,
Гранат,Breaking RedБрейкин Ред,DARKSIDE,4.3,104,100
Гранат,Гранат со двора,Северный,3.9,61,60
Гранат,Red BombГранат,MUSTHAVE,3.3,57,51
Гранат,FleshПлоть,Satyr,4.4,50,49
Гранат,BooБу!,Хулиган,3.7,49,47
Гранат,Гранатовый сок,Сарма,4,46,46
Гранат,Sangria de granadaСангрия де Гранада,Sapphire Crown,4.2,48,45
Гранат,Granade ArcadeЙогурт и гранат,DARKSIDE,3.6,46,42
Гранат,GarnetГранат,Black Burn,3.5,43,41
Гранат,"Онежский панчГранат, вишня, малина",DARKSIDE,3.6,41,37
Гранат,Garnet Grape,MUSTHAVE,4,39,36
Гранат,Garnet CherryГранат-Вишня,Sebero,3.9,39,36
Гранат,Aperol & GranatГранатовый Апероль,Jent,4.2,38,36
Гранат,PomegranateГранат,Bonche,4.5,35,35
Гранат,NurrГранат,Trofimoff’s,4.6,31,30
Гранат,Little BigЛиттл биг,Fake,4.1,30,27
Гранат,Garnet HollsГранатовый холлс,Element,3.3,27,27
Гранат,Гранат,Brusko,4,28,26
Гранат,Pomegranate MorsГранатовый морс,Deus,3.4,27,26
Гранат,Гранат,Nаш,3.8,26,26
Гранат,Hard BooБу!,Хулиган,3.6,23,
Гранат,Sangrita MexicanaМексиканская сангрита,Spectrum,4.2,22,
Гранат,PomegranateГранат,Duft,3.9,20,
Гранат,Виноград-Гранат,Сарма,3.6,19,
Гранат,Grenadine DropsГренадин дропс,Chabacco,3.8,18,
Гранат,Баграфей,Codex Nubium,4.4,17,
Гранат,Cream BerryСливочный ягоды,Sebero,3.9,16,
Гранат,Гранатовый смузи,Leteam,4,15,
Гранат,Бокал с градусом,Rustpunk,3.8,14,
Гранат,Гранатовый сок,Starline,3.5,14,
Гранат,Гранатовый йогурт,Element,3.2,13,
Гранат,GranatГранат,Spectrum,4.3,13,
Гранат,PomegranateГранат,Kraken,4.3,12,
Гранат,GarnetГранат,Sebero,4.1,12,
Гранат,PomegranateГранат,Chabacco,3.9,13,
Гранат,"Pomeberry (№6)Клубника, малина и гранат",Ready,2.4,11,
Гранат,IraГнев,Душа,3.4,11,
Гранат,Гранатовый сок,Jam,3.5,11,
Гранат,Гранатовый Апероль,Sarkozy (SZ),4.7,11,
Гранат,Red GarnetКрасный Гранат,Malaysian Mix,4.6,11,
Гранат,FruitberryФрутберри,Element,2.4,11,
Гранат,GrenadineГранат,Al Fakher,4,11,
Гранат,Рождественский вечер,Северный,4.6,10,
Гранат,Pomeberry ChaiГранатовый чай,Khan Burley,2.9,10,
Гранат,Гранат,Element,4.1,10,
Гранат,GunskeeperГанскипер,Split,3.8,9,
Гранат,BloodКровь,Satyr,2.1,9,
Гранат,GarnetГранат,Sebero,3.6,9,
Гранат,ГранадаМякоть граната,Rustpunk,4.3,8,
Гранат,Леденцовый,Hook (by Chabacco),3.2,8,
Гранат,Garnet JuiceГранатовый сок,Tabu Team,3.3,8,
Гранат,PomegranateГранат,Endorphin,3.3,8,
Гранат,Grenade SunsetГранатовый закат,Element,3.4,8,
Гранат,GranatГранат,Mattpear,2.8,8,
Гранат,Turkish JuiceГранатовый сок,Aircraft,3.6,7,
Гранат,Гранат и томат,World Tobacco Original,3.8,6,
Гранат,Гранатовый,Hook (by Chabacco),3,6,
Гранат,ГранатаГраната,Original Virginia,4,6,
Гранат,Ветер в лицоГранат и фейхоа,МОЛОДОСТЬ,3.1,6,
Гранат,Гранат • Вишня • Личи,Veter,3.7,6,
Груша,Mad PearСумасшедшая груша,MUSTHAVE,3.7,74,70
Груша,Груша горгонзола,Nаш,4,58,54
Груша,Pear lemonadeГрушевый лимонад,Black Burn,3.9,52,47
Груша,Груша,Starline,4,45,42
Груша,PearПиар,DARKSIDE,3.6,45,40
Груша,Китайская груша,Догма,4.2,42,40
Груша,"Южный вайбГруша, манго, мята",DARKSIDE,3.4,41,38
Груша,Дачная груша,Сарма,4.1,37,36
Груша,Груша-фисташка,Nаш,3.6,38,35
Груша,Cactus PearКактус-груша,Sebero,4.1,38,35
Груша,PearГруша,Element,3.9,33,32
Груша,Прыжок с парашютомОчень вкусная груша,МОЛОДОСТЬ,4.1,32,30
Груша,Green pearЗеленая груша,Sebero,3.7,31,30
Груша,Грушевые леденцы,Chabacco,4.4,30,29
Груша,DuchessДюшес,Spectrum,4,30,29
Груша,PearГруша,DARKSIDE,4,28,25
Груша,Jasmine PearЖасминовая груша,Deus,3.9,25,24
Груша,DuchessДюшес,Spectrum,4.2,25,23
Груша,Crispy PearАромат груши,Sapphire Crown,3.8,23,23
Груша,"Камчатский панчГруша, чай, клюква",DARKSIDE,3.4,20,19
Груша,Pearfect MelonДыня и груша,Element,4.1,19,
Груша,BootleggerБутлегер,Split,4.5,20,
Груша,"Азовский шейкДыня, груша, суфле",DARKSIDE,3.5,20,
Груша,Mexican PearМексиканская груша,Banger,3.9,19,
Груша,American PieАмериканский пирог,Chabacco,3.4,19,
Груша,"Pears of joyГруша, мускус, ваниль",JOY.,4.1,19,
Груша,Pear DateГруша Инжир,Palitra,4.5,16,
Груша,Груша с бананомГруша с бананом,Brusko,3.9,16,
Груша,Груша,Nаш,4.1,16,
Груша,Pearsécco (№2)Груша и шампанское,Ready,4.1,14,
Груша,DuchessДюшес,Satyr,3.9,15,
Груша,"УшаГруша, злаки, молоко",Codex Nubium,3.8,13,
Груша,PearГруша,Element,3.9,13,
Груша,"ПолярныйКлюква, яблоко, груша",DARKSIDE,3.7,15,
Груша,Китайская груша,Догма,4.4,13,
Груша,Pear JamГрушевый джем,Duft,3.7,13,
Груша,French CiderФранцузский сидр,Aircraft,3.9,12,
Груша,"ПустынныйСодовая, груша, фейхоа",DARKSIDE,3.4,11,
Груша,Китайская груша,Original Virginia,4.3,10,
Груша,Грушево-лимонадный,Hook (by Chabacco),4.5,10,
Гуава,AlovaАлова,MUSTHAVE,4.3,87,80
Гуава,POOLПул,Хулиган,4.3,61,57
Гуава,Kashmir Goa Java,DARKSIDE,4.1,44,41
Гуава,Guava MamaГуава,Duft,4.2,39,38
Гуава,HARD POOLПул,Хулиган,4,33,32
Гуава,Guava rebelГуава Ребел,DARKSIDE,3.4,29,27
Гуава,Rotana,Serbetli,3.7,26,25
Гуава,Green SodaЗеленая содовая,Chabacco,2.7,22,18
Гуава,Guava StrawberryГуава-клубника,Sebero,3.7,18,17
Гуава,Гуава-Ваниль,Сарма,2.8,17,16
Гуава,"Саянский битВиноград, смородина, гуава",DARKSIDE,3.9,16,14
Гуава,ChikaГуава,Satyr,3.2,14,14
Гуава,Spice FruitФрукт со специями,Sebero,4.1,14,13
Гуава,GuajavaГуайява,Overdose,4.2,13,13
Гуава,GuavaГуава,Al Fakher,3.4,12,12
Гуава,Strawberry-GuavaКлубника-гуава,Sebero,3.6,13,11
Гуава,GuavaГуава,Chabacco,4,12,11
Гуава,Guava ApesГуава эйпс,Mattpear,3.1,11,11
Гуава,Kashmir GuajavaКашмировая гуава,Original Virginia,4.1,10,10
Гуава,FLORENCE FIELD,Split,4.6,9,9
Гуава,Guava SupremeГуава,Kraken,4.4,8,
Гуава,Mexican GuavaМексиканская гуава,Aircraft,3.8,8,
Гуава,Summer Solstice CelebrationПразднование летнего солнцестояния,Tangiers,4.6,8,
Гуава,Cheguava,Zomo,3.4,8,
Гуава,GuavaГуава,Mattpear,4.1,8,
